Year, % total activity in winter, % total activity in spring, % total activity in summer, % total activity in autumn
2018, 26.299184813729564% , 24.87121683569678% , 23.68100057908745% , 25.14859777148621% 
2019, 26.23830998465718% , 24.2880214864491% , 24.050987846982707% , 25.422680681911007% 
2020, 24.28257442916217% , 21.068476630361236% , 25.47125093465325% , 29.177698005823345% 
2021, 26.488084338069847% , 24.320228153424804% , 24.011779934848132% , 25.179907573657218% 
2022, 26.694185742070058% , 24.54596335707329% , 23.961149871209674% , 24.798701029646978% 
2023, 26.77359542965368% , 25.154506193358074% , 23.59963494279824% , 24.47226343419001% 
2024, 25.758094903463746% , 25.103689273991588% , 23.792953422238945% , 25.345262400305725% 
2025, 26.18731397981991% , 24.23979898698511% , 24.610620513826962% , 24.96226651936802% 
