Year, F2F appointments percentage of peak year, House visits percentage of peak year, Other appointments percentage of peak year
2018, 99.34837502670743% , 84.36344288605122% , 44.39828641672179% 
2019, 100.0% , 86.23656758076896% , 45.86060231511223% 
2020, 61.4734789640644% , 54.29008792128951% , 91.9088201217987% 
2021, 70.30284905138942% , 72.22585653478473% , 100.0% 
2022, 83.4106969117834% , 74.09898122950248% , 79.47730607937324% 
2023, 86.40083693816162% , 79.6067092317354% , 74.43169410406331% 
2024, 91.76106994140572% , 95.25416928337171% , 73.54903969773467% 
2025, 88.05397047345775% , 100.0% , 75.95690253483905% 
