Período;Região;Entidade;Localização Geográfica;Nº Consultas Médicas Presenciais (QT);Nº de Consultas Médicas Não Presenciais ou Inespecíficas (Qt);Nº de Consultas Médicas ao Domicílio (Qt)
2015-06;Centro;Área dos CSP da ULS Região de Aveiro;40.6405055,-8.6537539;72705;28591;482
2015-06;Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;5427;2889;4
2015-06;Lisboa e Vale do Tejo;Área dos CSP da ULS Arco Ribeirinho;38.6672076,-9.0543329;35063;9705;204
2015-06;Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;28875;12384;522
2015-06;Norte;ACES Grande Porto I - Santo Tirso / Trofa;41.3469246,-8.4822648;21279;10940;249
2015-06;Norte;Área dos CSP da ULS Barcelos / Esposende;41.5317419,-8.6178922;30768;12073;287
2015-06;Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;30791;14931;426
2015-06;Região não Especificada;Desconhecido | Nacional;;136;69;
2015-07;Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;22495;15387;208
2015-07;Centro;Área dos CSP da ULS Guarda;40.5353285,-7.2724426;24763;9300;177
2015-07;Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;11642;4877;27
2015-07;Lisboa e Vale do Tejo;ACES Sintra;38.7519209,-9.2753636;46569;11804;280
2015-07;Lisboa e Vale do Tejo;ACES Lisboa Norte;38.7396924,-9.168506;33888;7468;450
2015-07;Lisboa e Vale do Tejo;Área dos CSP da ULS Arco Ribeirinho;38.6672076,-9.0543329;35080;9866;165
2015-07;Lisboa e Vale do Tejo;ACES Médio Tejo;39.478072,-8.5404429;42000;12156;344
2015-07;Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;31619;16316;425
2015-07;Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;26372;12458;369
2015-08;Alentejo;Área dos CSP da ULS Alentejo Central;38.8442031,-7.5826619;27715;16973;257
2015-08;Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;8813;3795;80
2015-08;Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;17575;12872;101
2015-08;Centro;Área dos CSP da ULS Viseu Dão-Lafões;40.6565861,-7.9124712;44482;15728;405
2015-08;Lisboa e Vale do Tejo;Área dos CSP da ULS Estuário do Tejo;38.9528113,-8.9911154;31209;6827;153
2015-08;Lisboa e Vale do Tejo;ACES Médio Tejo;39.478072,-8.5404429;34139;10996;295
2015-08;Lisboa e Vale do Tejo;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;25270;7612;280
2015-08;Lisboa e Vale do Tejo;ACES Lisboa Central;38.7306317,-9.1510414;27432;8137;183
2015-08;Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;13532;5352;130
2015-08;Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;25235;10914;318
2015-09;Alentejo;Área dos CSP da ULS Litoral Alentejano;38.3841359,-8.5132031;13973;6795;72
2015-09;Alentejo;Área dos CSP da ULS Alto Alentejo;39.2967086,-7.4284755;25172;13806;394
2015-09;Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;20618;16273;196
2015-09;Centro;Área dos CSP da ULS Região de Aveiro;40.6405055,-8.6537539;71945;30232;432
2015-09;Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;12126;5418;14
2015-09;Lisboa e Vale do Tejo;ACES Médio Tejo;39.478072,-8.5404429;42231;12851;341
2015-01;Centro;Área dos CSP da ULS Cova da Beira;40.2677741,-7.4995083;15467;6202;28
2015-01;Centro;Área dos CSP da ULS Guarda;40.5353285,-7.2724426;26425;10681;269
2015-01;Lisboa e Vale do Tejo;Área dos CSP da ULS Lezíria;39.2371689,-8.6908895;37311;15826;449
2015-01;Lisboa e Vale do Tejo;ACES Oeste Norte;39.410844,-9.1396215;39694;12884;292
2015-01;Lisboa e Vale do Tejo;Área dos CSP da ULS Arrábida;38.5324373,-8.8627453;35418;14005;297
2015-01;Norte;ACES Ave / Famalicão;41.3835805,-8.4157518;24311;9168;226
2015-01;Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;33562;14008;244
2015-01;Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;15875;6718;176
2015-01;Região não Especificada;Desconhecido | Nacional;;643;;
2015-02;Alentejo;Área dos CSP da ULS Litoral Alentejano;38.3841359,-8.5132031;13566;5593;111
2015-02;Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;32165;8846;241
2015-02;Centro;Área dos CSP da ULS Viseu Dão-Lafões;40.6565861,-7.9124712;51546;15351;523
2015-02;Centro;ACES Pinhal Litoral;39.7495331,-8.807683;45223;14007;186
2015-02;Lisboa e Vale do Tejo;Área dos CSP da ULS Lezíria;39.2371689,-8.6908895;34628;13355;405
