Período;Região;Entidade;Localização Geográfica;Nº Consultas Médicas Presenciais (QT);Nº de Consultas Médicas Não Presenciais ou Inespecíficas (Qt);Nº de Consultas Médicas ao Domicílio (Qt)
2019-12;Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;28976;18523;328
2019-12;Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;48763;19395;524
2019-12;Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;22476;12736;274
2020-01;Alentejo;Área dos CSP da ULS Alentejo Central;38.8442031,-7.5826619;37886;21680;404
2020-01;Lisboa e Vale do Tejo;ACES Médio Tejo;39.478072,-8.5404429;47744;17375;356
2020-01;Lisboa e Vale do Tejo;Área dos CSP da ULS Lezíria;39.2371689,-8.6908895;40528;16974;325
2020-01;Lisboa e Vale do Tejo;Área dos CSP da ULS Arrábida;38.5324373,-8.8627453;38646;14924;241
2020-01;Lisboa e Vale do Tejo;ACES Lisboa Norte;38.7396924,-9.168506;38812;10246;385
2020-01;Lisboa e Vale do Tejo;ACES Amadora;38.7573081,-9.23429;26837;7468;170
2020-01;Norte;ACES Ave / Famalicão;41.3835805,-8.4157518;24288;12688;280
2020-01;Norte;Área dos CSP da ULS Matosinhos;41.1918541,-8.6590693;35247;19640;464
2020-01;Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;30033;18079;442
2020-01;Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;26437;11236;342
2020-01;Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;16918;7787;225
2020-01;Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;36259;15959;372
2020-02;Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;37510;12018;266
2020-02;Centro;Área dos CSP da ULS Região de Aveiro;40.6405055,-8.6537539;70229;28859;620
2020-02;Lisboa e Vale do Tejo;ACES Loures / Odivelas;38.8012718,-9.1137868;49671;15558;390
2020-02;Lisboa e Vale do Tejo;ACES Amadora;38.7573081,-9.23429;24080;6490;170
2020-02;Lisboa e Vale do Tejo;ACES Sintra;38.7519209,-9.2753636;51696;12861;329
2020-03;Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;20897;11384;133
2020-03;Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;8167;5801;375
2020-03;Centro;Área dos CSP da ULS Cova da Beira;40.2677741,-7.4995083;9733;11834;28
2020-03;Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;15426;20247;131
2020-03;Centro;Área dos CSP da ULS Viseu Dão-Lafões;40.6565861,-7.9124712;34388;37130;282
2020-03;Lisboa e Vale do Tejo;ACES Lisboa Norte;38.7396924,-9.168506;22988;17878;161
2020-03;Lisboa e Vale do Tejo;ACES Sintra;38.7519209,-9.2753636;38019;23089;167
2020-03;Lisboa e Vale do Tejo;ACES Amadora;38.7573081,-9.23429;17171;11362;70
2020-03;Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;11218;13784;139
2020-03;Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;19306;24000;199
2020-03;Norte;Área dos CSP da ULS Nordeste;41.8069684,-6.7587977;14512;14803;119
2020-03;Norte;Área dos CSP da ULS Barcelos / Esposende;41.5317419,-8.6178922;21110;18937;185
2020-03;Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;21583;26510;149
2020-03;Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;17526;22904;118
2020-03;Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;15521;15195;202
2020-03;Norte;ACES Cávado II - Gerês / Cabreira;41.6298661,-8.3596897;10755;14269;198
2020-04;Centro;ACES Pinhal Litoral;39.7495331,-8.807683;11825;37671;48
2020-04;Lisboa e Vale do Tejo;ACES Médio Tejo;39.478072,-8.5404429;13036;30382;54
2020-04;Lisboa e Vale do Tejo;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;6576;35292;125
2020-04;Lisboa e Vale do Tejo;Área dos CSP da ULS Arrábida;38.5324373,-8.8627453;12451;24517;50
2020-04;Lisboa e Vale do Tejo;ACES Amadora;38.7573081,-9.23429;6507;13301;27
2020-04;Lisboa e Vale do Tejo;Área dos CSP da ULS Arco Ribeirinho;38.6672076,-9.0543329;10389;27907;35
2020-04;Lisboa e Vale do Tejo;Área dos CSP da ULS Lezíria;39.2371689,-8.6908895;10238;31761;38
2020-04;Lisboa e Vale do Tejo;ACES Lisboa Central;38.7306317,-9.1510414;9560;25117;19
2020-04;Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;4002;18196;52
2020-04;Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;3018;14101;201
2020-04;Norte;Área dos CSP da ULS Póvoa Varzim / Vila Conde;41.355519,-8.746653;5817;27996;99
2020-04;Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;10730;49157;74
2020-04;Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;5697;34395;40
2020-04;Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;11487;29806;78
2020-05;Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;5383;6904;182
2020-05;Centro;Área dos CSP da ULS Guarda;40.5353285,-7.2724426;11943;16036;61
2020-05;Lisboa e Vale do Tejo;Área dos CSP da ULS Almada / Seixal;38.6678522,-9.1875777;23067;37706;184
2020-05;Lisboa e Vale do Tejo;ACES Oeste Sul;39.0917759,-9.2600341;11039;24055;69
2020-05;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;7982;26514;64
2020-05;Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;8222;20192;136
2020-05;Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;14886;34932;158
2020-05;Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;8472;35434;47
2020-05;Região não Especificada;Desconhecido | Nacional;;815;;1
2020-06;Alentejo;Área dos CSP da ULS Alentejo Central;38.8442031,-7.5826619;17021;30722;354
2020-06;Alentejo;Área dos CSP da ULS Baixo Alentejo;38.0153039,-7.8627308;14396;18938;158
2020-06;Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;12575;22706;165
2020-06;Lisboa e Vale do Tejo;Área dos CSP da ULS Estuário do Tejo;38.9528113,-8.9911154;20668;28173;82
2020-06;Lisboa e Vale do Tejo;ACES Oeste Sul;39.0917759,-9.2600341;14410;24996;93
2020-06;Lisboa e Vale do Tejo;Área dos CSP da ULS Almada / Seixal;38.6678522,-9.1875777;25649;41026;185
2020-06;Lisboa e Vale do Tejo;ACES Lisboa Norte;38.7396924,-9.168506;19400;25879;160
2020-06;Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;7111;14852;109
2020-06;Norte;Área dos CSP da ULS Nordeste;41.8069684,-6.7587977;11236;16926;156
2020-06;Norte;ACES Grande Porto VIII - Espinho / Gaia;41.0022421,-8.642018;14664;33411;244
2020-06;Norte;ACES Ave / Famalicão;41.3835805,-8.4157518;8968;22215;221
2020-06;Norte;Área dos CSP da ULS Matosinhos;41.1918541,-8.6590693;10676;35270;252
2020-07;Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;8224;7728;121
2020-07;Centro;Área dos CSP da ULS Viseu Dão-Lafões;40.6565861,-7.9124712;23292;55803;333
2020-07;Centro;ACES Pinhal Litoral;39.7495331,-8.807683;22784;50238;220
2020-07;Lisboa e Vale do Tejo;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;15293;43215;203
2020-07;Lisboa e Vale do Tejo;Área dos CSP da ULS Estuário do Tejo;38.9528113,-8.9911154;23425;29807;57
2020-07;Lisboa e Vale do Tejo;ACES Lisboa Central;38.7306317,-9.1510414;19339;33730;89
2020-07;Norte;ACES Grande Porto III - Maia / Valongo;41.2333945,-8.6187474;18820;45443;166
2020-07;Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;12173;46433;210
2020-07;Norte;Área dos CSP da ULS Nordeste;41.8069684,-6.7587977;12618;17657;135
2020-07;Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;16587;38560;296
2020-07;Região não Especificada;Desconhecido | Nacional;;1;;
2020-08;Alentejo;Área dos CSP da ULS Alto Alentejo;39.2967086,-7.4284755;17235;14181;122
2020-08;Lisboa e Vale do Tejo;Área dos CSP da ULS Arco Ribeirinho;38.6672076,-9.0543329;17652;23183;95
2020-08;Lisboa e Vale do Tejo;Área dos CSP da ULS Lezíria;39.2371689,-8.6908895;24727;22259;109
2020-08;Norte;Área dos CSP da ULS Póvoa Varzim / Vila Conde;41.355519,-8.746653;10147;32535;176
2020-08;Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;12576;32144;160
2020-08;Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;15471;32433;275
2020-08;Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;14504;31173;190
2020-08;Norte;ACES Grande Porto VIII - Espinho / Gaia;41.0022421,-8.642018;16365;32324;252
2020-08;Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;7123;23549;127
2020-09;Alentejo;Área dos CSP da ULS Litoral Alentejano;38.3841359,-8.5132031;11984;10952;104
2020-09;Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;8548;7157;117
2020-09;Centro;Área dos CSP da ULS Guarda;40.5353285,-7.2724426;19805;15827;133
2020-09;Centro;Área dos CSP da ULS Região de Aveiro;40.6405055,-8.6537539;38881;76112;473
2020-09;Centro;ACES Baixo Mondego;40.2150023,-8.4071805;41867;81145;348
2020-09;Lisboa e Vale do Tejo;Área dos CSP da ULS Almada / Seixal;38.6678522,-9.1875777;33822;48971;210
2020-09;Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;15446;34038;215
2020-09;Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;19730;42451;298
2020-09;Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;14461;41678;195
2020-10;Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;31974;31278;285
2020-10;Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;25138;14907;127
2020-10;Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;17417;23794;165
2020-10;Lisboa e Vale do Tejo;ACES Oeste Sul;39.0917759,-9.2600341;17441;32804;70
2020-10;Lisboa e Vale do Tejo;ACES Lisboa Central;38.7306317,-9.1510414;20260;42580;125
2020-10;Lisboa e Vale do Tejo;Área dos CSP da ULS Lezíria;39.2371689,-8.6908895;29469;34275;129
2020-10;Lisboa e Vale do Tejo;ACES Lisboa Norte;38.7396924,-9.168506;23225;36813;166
2020-10;Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;18381;51788;131
2020-10;Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;13964;59640;84
2020-10;Norte;ACES Cávado II - Gerês / Cabreira;41.6298661,-8.3596897;11500;29998;133
2020-10;Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;17089;38981;255
2020-10;Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;18028;41764;150
2020-10;Norte;ACES Grande Porto III - Maia / Valongo;41.2333945,-8.6187474;26879;56110;199
2020-11;Alentejo;Área dos CSP da ULS Litoral Alentejano;38.3841359,-8.5132031;13063;11702;88
2020-11;Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;9797;7348;178
2020-11;Centro;Área dos CSP da ULS Guarda;40.5353285,-7.2724426;18822;21881;60
2020-11;Lisboa e Vale do Tejo;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;20125;48669;213
2020-11;Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;14925;53943;155
2020-11;Norte;ACES Grande Porto VIII - Espinho / Gaia;41.0022421,-8.642018;21523;43662;284
2020-11;Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;12005;54925;124
2020-11;Norte;Área dos CSP da ULS Barcelos / Esposende;41.5317419,-8.6178922;18110;42310;117
2020-11;Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;9039;18046;72
2020-11;Região não Especificada;Desconhecido | Nacional;;1;;
2020-12;Alentejo;Área dos CSP da ULS Litoral Alentejano;38.3841359,-8.5132031;9641;9784;67
2020-12;Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;7917;6590;105
2020-12;Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;18985;11738;117
2020-12;Centro;ACES Pinhal Litoral;39.7495331,-8.807683;23282;47688;164
2020-12;Lisboa e Vale do Tejo;Área dos CSP da ULS Lezíria;39.2371689,-8.6908895;20107;31762;78
2020-12;Lisboa e Vale do Tejo;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;14723;38783;162
2020-12;Lisboa e Vale do Tejo;ACES Oeste Sul;39.0917759,-9.2600341;13673;27395;56
2020-12;Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;7248;16465;62
2020-12;Norte;ACES Grande Porto I - Santo Tirso / Trofa;41.3469246,-8.4822648;9530;29312;229
2020-12;Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;8979;43199;121
2020-12;Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;27863;59064;222
2020-12;Norte;Área dos CSP da ULS Alto Minho;41.7056054,-8.8252713;23036;72411;281
2020-12;Norte;ACES Grande Porto III - Maia / Valongo;41.2333945,-8.6187474;17801;43938;183
2020-12;Região não Especificada;Desconhecido | Nacional;;76;;
2021-01;Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;23078;17447;88
2021-01;Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;7597;8086;180
2021-01;Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;30058;52415;141
2021-01;Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;14958;29654;96
2021-01;Lisboa e Vale do Tejo;ACES Sintra;38.7519209,-9.2753636;24860;48135;107
2021-01;Lisboa e Vale do Tejo;ACES Lisboa Central;38.7306317,-9.1510414;19314;45328;102
2021-01;Lisboa e Vale do Tejo;ACES Oeste Norte;39.410844,-9.1396215;26262;28604;60
2021-01;Lisboa e Vale do Tejo;ACES Lisboa Norte;38.7396924,-9.168506;16715;47462;150
2021-01;Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;7949;25426;137
2021-01;Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;18059;35966;193
2021-01;Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;17203;27241;295
2021-01;Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;7767;23790;54
2021-01;Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;11269;52441;182
2021-01;Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;10868;47363;178
2021-01;Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;12215;37084;233
2021-01;Norte;ACES Grande Porto I - Santo Tirso / Trofa;41.3469246,-8.4822648;9648;35484;200
2021-01;Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;9638;31001;141
2021-02;Alentejo;Área dos CSP da ULS Alto Alentejo;39.2967086,-7.4284755;14718;20095;132
2021-02;Centro;ACES Baixo Mondego;40.2150023,-8.4071805;29554;89277;270
2021-02;Centro;Área dos CSP da ULS Cova da Beira;40.2677741,-7.4995083;5977;16876;50
2021-02;Lisboa e Vale do Tejo;ACES Lisboa Norte;38.7396924,-9.168506;13929;42270;150
2021-02;Lisboa e Vale do Tejo;Área dos CSP da ULS Arrábida;38.5324373,-8.8627453;25021;33688;146
2021-02;Norte;Área dos CSP da ULS Alto Minho;41.7056054,-8.8252713;21619;78522;276
2021-02;Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;13777;39464;212
2021-02;Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;18251;38415;299
2021-02;Norte;ACES Grande Porto III - Maia / Valongo;41.2333945,-8.6187474;23900;45389;219
2021-02;Região não Especificada;Desconhecido | Nacional;;39;3;
2021-03;Alentejo;Área dos CSP da ULS Alentejo Central;38.8442031,-7.5826619;23551;37866;279
2021-03;Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;18789;24884;144
2021-03;Lisboa e Vale do Tejo;Área dos CSP da ULS Arrábida;38.5324373,-8.8627453;29713;26757;189
2021-03;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;15761;34891;125
2021-03;Lisboa e Vale do Tejo;Área dos CSP da ULS Almada / Seixal;38.6678522,-9.1875777;39210;50332;353
2021-03;Norte;Área dos CSP da ULS Póvoa Varzim / Vila Conde;41.355519,-8.746653;14181;37782;491
2021-03;Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;40066;54381;431
2021-03;Norte;ACES Grande Porto VIII - Espinho / Gaia;41.0022421,-8.642018;21579;38717;656
2021-03;Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;15038;50519;334
2021-03;Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;18120;32739;339
2021-04;Alentejo;Área dos CSP da ULS Baixo Alentejo;38.0153039,-7.8627308;19124;17733;173
2021-04;Centro;ACES Baixo Mondego;40.2150023,-8.4071805;42356;74476;413
2021-04;Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;9387;8756;27
2021-04;Lisboa e Vale do Tejo;Área dos CSP da ULS Estuário do Tejo;38.9528113,-8.9911154;23885;27789;58
2021-04;Lisboa e Vale do Tejo;ACES Amadora;38.7573081,-9.23429;18441;15693;40
2021-04;Lisboa e Vale do Tejo;Área dos CSP da ULS Arrábida;38.5324373,-8.8627453;29134;22440;210
2021-04;Lisboa e Vale do Tejo;ACES Oeste Norte;39.410844,-9.1396215;26148;23221;75
2021-04;Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;14115;23205;566
2021-04;Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;14649;47103;725
2021-04;Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;16617;30230;563
2021-04;Norte;Área dos CSP da ULS Barcelos / Esposende;41.5317419,-8.6178922;19963;30787;531
2021-04;Norte;ACES Cávado II - Gerês / Cabreira;41.6298661,-8.3596897;16693;22218;345
2021-04;Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;27272;36734;568
2021-04;Região não Especificada;Desconhecido | Nacional;;90;;
2021-05;Centro;Área dos CSP da ULS Cova da Beira;40.2677741,-7.4995083;11342;12191;31
2021-05;Centro;ACES Pinhal Litoral;39.7495331,-8.807683;30807;43957;215
2021-05;Lisboa e Vale do Tejo;ACES Loures / Odivelas;38.8012718,-9.1137868;33300;39948;241
2021-05;Lisboa e Vale do Tejo;Área dos CSP da ULS Almada / Seixal;38.6678522,-9.1875777;43177;44656;634
2021-05;Lisboa e Vale do Tejo;ACES Oeste Norte;39.410844,-9.1396215;27381;22114;109
2021-05;Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;25711;30963;525
2021-05;Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;19904;35627;535
2021-05;Norte;Área dos CSP da ULS Matosinhos;41.1918541,-8.6590693;25740;34010;674
2021-05;Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;15330;23795;562
2021-05;Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;17831;40388;453
2021-05;Região não Especificada;Desconhecido | Nacional;;530;281;
2021-06;Alentejo;Área dos CSP da ULS Alto Alentejo;39.2967086,-7.4284755;18672;16219;117
2021-06;Alentejo;Área dos CSP da ULS Baixo Alentejo;38.0153039,-7.8627308;17871;16195;139
2021-06;Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;30974;25035;203
2021-06;Centro;Área dos CSP da ULS Guarda;40.5353285,-7.2724426;19097;14609;40
2021-06;Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;3679;4625;7
2021-06;Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;17273;20652;99
2021-06;Centro;ACES Pinhal Litoral;39.7495331,-8.807683;28822;41495;240
2021-06;Lisboa e Vale do Tejo;ACES Amadora;38.7573081,-9.23429;19117;15201;38
2021-06;Lisboa e Vale do Tejo;Área dos CSP da ULS Almada / Seixal;38.6678522,-9.1875777;39575;43783;498
2021-06;Lisboa e Vale do Tejo;Área dos CSP da ULS Arrábida;38.5324373,-8.8627453;34400;24140;164
2021-06;Lisboa e Vale do Tejo;Área dos CSP da ULS Arco Ribeirinho;38.6672076,-9.0543329;29034;21652;116
2021-06;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;16074;29407;79
2021-06;Norte;Área dos CSP da ULS Barcelos / Esposende;41.5317419,-8.6178922;17328;30064;366
2021-06;Norte;Área dos CSP da ULS Matosinhos;41.1918541,-8.6590693;25224;32894;405
2021-06;Norte;ACES Grande Porto I - Santo Tirso / Trofa;41.3469246,-8.4822648;13389;22673;334
2021-06;Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;17439;33431;287
2021-06;Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;12950;15303;204
2021-06;Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;25994;32164;345
2021-06;Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;16174;21182;192
2021-06;Região não Especificada;Desconhecido | Nacional;;488;221;
2021-06;Região não Especificada;Desconhecido | Nacional;;99;21;
2021-07;Alentejo;Área dos CSP da ULS Litoral Alentejano;38.3841359,-8.5132031;13790;9618;85
2021-07;Alentejo;Área dos CSP da ULS Alto Alentejo;39.2967086,-7.4284755;19415;16370;125
2021-07;Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;10438;6402;292
2021-07;Centro;Área dos CSP da ULS Região de Aveiro;40.6405055,-8.6537539;46884;67493;318
2021-07;Lisboa e Vale do Tejo;ACES Loures / Odivelas;38.8012718,-9.1137868;29262;44305;194
2021-07;Lisboa e Vale do Tejo;ACES Lisboa Central;38.7306317,-9.1510414;21472;47074;205
2021-07;Lisboa e Vale do Tejo;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;25255;39039;290
2021-07;Lisboa e Vale do Tejo;ACES Oeste Sul;39.0917759,-9.2600341;19480;25232;94
2021-07;Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;10094;10335;190
2021-07;Norte;ACES Grande Porto VIII - Espinho / Gaia;41.0022421,-8.642018;21685;34203;319
2021-07;Norte;Área dos CSP da ULS Alto Minho;41.7056054,-8.8252713;30110;59067;400
2021-08;Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;8311;8772;34
2021-08;Lisboa e Vale do Tejo;Área dos CSP da ULS Arco Ribeirinho;38.6672076,-9.0543329;24844;23555;127
2021-08;Lisboa e Vale do Tejo;ACES Lisboa Norte;38.7396924,-9.168506;21266;25719;172
2021-08;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;15256;25818;126
2021-08;Lisboa e Vale do Tejo;ACES Oeste Norte;39.410844,-9.1396215;26447;22374;76
2021-08;Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;13960;18351;126
2021-08;Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;13169;15647;114
2021-08;Norte;Área dos CSP da ULS Póvoa Varzim / Vila Conde;41.355519,-8.746653;14088;31291;243
2021-08;Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;23900;31189;188
2021-08;Norte;Área dos CSP da ULS Barcelos / Esposende;41.5317419,-8.6178922;17655;29271;183
2021-08;Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;16424;34092;206
2021-08;Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;16519;28462;278
2021-09;Centro;ACES Pinhal Litoral;39.7495331,-8.807683;32840;44408;232
2021-09;Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;9704;8942;18
2021-09;Lisboa e Vale do Tejo;ACES Cascais;38.69904,-9.3818008;18902;26333;145
2021-09;Lisboa e Vale do Tejo;ACES Médio Tejo;39.478072,-8.5404429;31914;30952;197
2021-09;Lisboa e Vale do Tejo;ACES Lisboa Central;38.7306317,-9.1510414;23229;30184;262
2021-09;Lisboa e Vale do Tejo;Área dos CSP da ULS Arco Ribeirinho;38.6672076,-9.0543329;27019;21866;144
2021-09;Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;40974;47189;417
2021-09;Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;22510;35029;229
2021-09;Norte;Área dos CSP da ULS Alto Minho;41.7056054,-8.8252713;33364;57779;498
2021-09;Região não Especificada;Desconhecido | Nacional;;149;29;
2021-10;Alentejo;Área dos CSP da ULS Alto Alentejo;39.2967086,-7.4284755;20469;15949;94
2021-10;Alentejo;Área dos CSP da ULS Baixo Alentejo;38.0153039,-7.8627308;19902;19005;123
2021-10;Lisboa e Vale do Tejo;Área dos CSP da ULS Almada / Seixal;38.6678522,-9.1875777;43189;42594;341
2021-10;Lisboa e Vale do Tejo;ACES Lisboa Norte;38.7396924,-9.168506;28916;24068;256
2021-10;Norte;Área dos CSP da ULS Póvoa Varzim / Vila Conde;41.355519,-8.746653;18599;30477;294
2021-10;Norte;Área dos CSP da ULS Alto Minho;41.7056054,-8.8252713;35261;54285;447
2021-10;Norte;Área dos CSP da ULS Nordeste;41.8069684,-6.7587977;16883;14911;143
2021-11;Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;25199;14430;115
2021-11;Lisboa e Vale do Tejo;ACES Médio Tejo;39.478072,-8.5404429;32761;33485;220
2021-11;Lisboa e Vale do Tejo;Área dos CSP da ULS Almada / Seixal;38.6678522,-9.1875777;46969;45757;492
2021-11;Lisboa e Vale do Tejo;ACES Sintra;38.7519209,-9.2753636;41280;34440;233
2021-11;Lisboa e Vale do Tejo;ACES Lisboa Norte;38.7396924,-9.168506;31813;28605;307
2021-11;Norte;ACES Cávado II - Gerês / Cabreira;41.6298661,-8.3596897;17487;22186;415
2021-11;Norte;Área dos CSP da ULS Matosinhos;41.1918541,-8.6590693;27544;37748;725
2021-11;Norte;Área dos CSP da ULS Nordeste;41.8069684,-6.7587977;18516;21254;212
2021-11;Norte;ACES Grande Porto VIII - Espinho / Gaia;41.0022421,-8.642018;24894;37001;559
2021-11;Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;45977;48023;557
2021-11;Norte;ACES Ave / Famalicão;41.3835805,-8.4157518;21007;23033;506
2021-11;Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;29304;30934;1008
2021-11;Região não Especificada;Desconhecido | Nacional;;558;227;
2021-12;Centro;ACES Baixo Mondego;40.2150023,-8.4071805;43024;74953;340
2021-12;Centro;Área dos CSP da ULS Cova da Beira;40.2677741,-7.4995083;8822;16746;25
